Institution ID,In Factiva?,Remarks,Date entered,Last updated
1134,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
883,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
328,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
563,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
268,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
125,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
181,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
161,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
162,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1225,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
211,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1316,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
594,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
249,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
529,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
542,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1191,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
524,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
305,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
752,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
826,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1167,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
58,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
686,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
939,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
890,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
36,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1049,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1394,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
275,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1040,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1256,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1016,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
45,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
740,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
184,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
581,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
372,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
319,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
312,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
434,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
193,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1168,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1084,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1085,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
605,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
261,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
267,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1025,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
1369,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
4,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
18,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
972,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
321,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
11,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
5,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
243,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1341,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1412,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
959,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1238,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
781,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
1029,,,"01/11/08 00:00:00",
210,,,"01/11/08 00:00:00",
1031,,,"01/11/08 00:00:00",
1092,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
207,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1091,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
578,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
525,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
105,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
952,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
405,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
16,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
714,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
329,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
450,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
531,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
615,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
54,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
15,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
523,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
295,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1063,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
829,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
438,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
280,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
751,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
384,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
244,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
52,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1407,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
296,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1391,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
56,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
480,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1253,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
824,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
63,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
232,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
1170,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
998,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1326,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
320,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
1248,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1247,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1289,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
79,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
413,"Yes",,"05/08/08 00:00:00","05/08/08 00:00:00"
130,"Yes",,"05/08/08 00:00:00","05/08/08 00:00:00"
1532,"Yes",,"05/08/08 00:00:00","05/08/08 00:00:00"
1629,"Yes",,"05/09/08 00:00:00","05/09/08 00:00:00"
1630,"Yes",,"05/09/08 00:00:00","05/09/08 00:00:00"
1463,"Yes",,"05/09/08 00:00:00","05/09/08 00:00:00"
1416,"Yes",,"05/16/08 00:00:00","05/16/08 00:00:00"
986,"Yes",,"05/16/08 00:00:00","05/16/08 00:00:00"
292,"Yes",,"05/16/08 00:00:00","05/16/08 00:00:00"
1236,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
7,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
612,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
511,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
433,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
376,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
951,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1061,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
788,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
460,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
610,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
233,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
607,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
608,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
9,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
1050,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
172,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
642,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
167,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
836,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
6,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
334,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
406,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
449,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
789,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1003,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
797,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
587,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
302,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
999,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
383,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
777,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
1068,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
604,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
1382,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
733,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1383,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1065,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
106,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
377,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
762,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
533,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
43,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
637,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1296,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1393,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
814,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1428,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
809,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
731,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
811,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
279,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
250,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
281,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
589,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
734,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
1032,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
1384,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
1411,"Yes",,"01/17/08 00:00:00","01/17/08 00:00:00"
780,"No (Not available)",,"01/17/08 00:00:00","01/17/08 00:00:00"
112,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
995,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
983,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
50,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
530,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
187,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
937,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
204,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1001,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
103,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
501,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
190,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
192,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
229,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
313,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
35,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
108,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1097,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
298,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
309,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
293,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
260,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1408,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
753,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
124,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
173,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
1117,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
76,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
129,"Yes",,"01/11/08 00:00:00","01/11/08 00:00:00"
690,"No (Not available)",,"01/11/08 00:00:00","01/11/08 00:00:00"
1140,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1375,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1059,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
463,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1130,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
468,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
469,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
471,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
472,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1373,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
476,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
206,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
878,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
839,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
484,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
